,session,year,country,summary
0,44,1989,MDV," Maldives has always supported efforts with a view to general and complete disarmament, including the total elimination of chemical and bacteriological weapons and reduction in conventional armaments . Maldives expresses solidarity with the oppressed majority in South Africa in their struggle against apartheid . The Maldives is particularly concerned about the effects of the degradation of the environment, especially the depletion of the ozone layer ."
1,44,1989,FIN," Finland's hopes in Finland are fastened particularly on the preparation of a chemical weapons convention . Finland is concerned about the violence that has erupted and continues in many parts of the world . Finland follows, closely and with ,much hope the new efforts to achieve substantive conventional disarmament in Europe ."
2,44,1989,NER," Niger congratulates Nigeria's President on his election to the presidency of the U.N. General Assembly . Niger appeals again to the international community to maintain and indeed increase its pressure on the South African regime . Niger is pleased at the conclusion of the Geneva Agreements, which made possible the withdrawal of foreign troops from Afghanistan . The fight against drug trafficking in Latin America has become total war ."
3,44,1989,URY," President Sanguinetti announced to the world community from this very rostrum that Uruguay had resumed its traditional path of political democracy . Within a few weeks, elections will be held in Uruguay to elect all the authorities who will be responsible for the destiny of the country for the next five years ."
4,44,1989,ZWE, Nigeria's delegation expresses satisfaction and pleasure at election of Nigeria's foreign minister to U.N. General Assembly . The current session of the General Assembly must seriously address itself to problems affecting the world economy . The pursuit of a healthier world economy is fundamentally a struggle for human rights and for the tight of people to a decent existence .
5,44,1989,PHL," Argentina's outgoing President, Dante Caputo, is a friend of the Filipinos . He visited us in 1987 and worked with Ninoy Aquino at Harvard . The third world owes 41.3 trillion to creditors, so every child in that world is indebted up to 41,000 . The Commission could stimulate power-generation and raise the power capabilities of debtor countries ."
6,44,1989,SDN, The Sudan is still faced with enormously complex economic and social problems . We hope that these initiatives will bring about stability and complementary security in the region . The draft on the Constituent Assembly effectively denies the people of Namibia its right to self-determination . We call on the Security Council to fully assume its responsibilities as stated in its resolutions 435 (1978) and 640 (1989)
7,44,1989,RUS," Mikhail Gorbachev: ""The place and role of the United Nations in building new international relations at this crucial stage of world development for mankind"" ""The ship of the world has not yet negotiated the dangerous straits; it is encountering new threats that could give it a critical lurch,"" he says ."
8,44,1989,CHN," The Chinese delegation would like to expound its position on the major questions confronting the world today . China stands for a settlement of the Middle East question through political means without resorting to force . The black people in South Africa are entitled to racial equality and democratic rights . The establishment of a new international economic order is the need of the times, says the Chinese Government ."
9,44,1989,ESP," Since the founding of the United Nations, we have probably never witnessed as many efforts to improve the international climate or so many changes in the framework that has governed international relations for the past 40 years . Ideological intransigence, confrontation as a means of diplomacy and indifference to the overwhelming economic, social and political problems of a significant part of mankind are giving way ."
